,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,param_estimator__alpha,param_estimator__degree,param_estimator__gamma,param_estimator__kernel,param_estimator__C,param_estimator__shrinking,param_estimator__tol,param_estimator__eta,param_estimator__max_delta_step,param_estimator__max_depth,param_estimator__min_child_weight,param_estimator__random_state,param_estimator__criterion,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__splitter,param_estimator__warm_start,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error
0,0.009701848030090332,0.019109190162075747,0.0037008047103881834,0.0007814419732917328,KernelRidge(),1,1,10,polynomial,,,,,,,,,,,,,,"{'estimator': KernelRidge(), 'estimator__alpha': 1, 'estimator__degree': 1, 'estimator__gamma': 10, 'estimator__kernel': 'polynomial'}",0.016826663579918688,0.010864497879678914,0.006294216542313162,0.011087590349241118,0.011659070863383879,0.019637845645405657,0.004726692566154507,0.013004429646172442,0.007775744299973989,0.028805617773660967,0.013068236914590334,0.00677642328410064,302,0.12296838846068447,0.8168716789183752,0.8825624399137466,0.7918614530336753,0.8012457786740147,0.7490981606922216,0.8872468853381574,0.7634934062598665,0.8493549369124661,0.6135845185804509,0.7278287646783659,0.214982863976045,358,0.09518042909740951,0.08524914717406681,0.06710028301532864,0.08346596780230296,0.08595153705184533,0.10143605567159605,0.05328176351925234,0.09007832607559808,0.07075962303284332,0.11025497587842913,0.08427581083186722,0.016014678414162917,435
1,0.0032008886337280273,0.00040006899363942265,0.0032010316848754884,0.0006002123159006328,KernelRidge(),1,1,10,sigmoid,,,,,,,,,,,,,,"{'estimator': KernelRidge(), 'estimator__alpha': 1, 'estimator__degree': 1, 'estimator__gamma': 10, 'estimator__kernel': 'sigmoid'}",0.0273480175773975,0.07539157983319895,0.053919287573364574,0.05425057554408341,0.06140498541058875,0.08534648261822159,0.0420415304119406,0.05511622178901296,0.051744174528660196,0.07528938056344656,0.05818522358499151,0.016226057418914065,595,0.4254207802035559,0.2707751054347889,0.006026648691987546,0.01840306235747602,0.04678153206394309,0.090424573755163,0.0028817048605835893,0.002377668980034109,0.0024769508313762234,0.009975986795382585,0.0875544013974291,0.13729675433960165,625,0.15169910883448254,0.24309924705029456,0.19619610359131923,0.20832017692420202,0.20990901354891467,0.2354263142626756,0.17962342462684097,0.2045147892890333,0.2043118081031062,0.21684475382656448,0.20499447400574336,0.02473035848565771,626
2,0.0032006502151489258,0.0005995438795977257,0.003701186180114746,0.00045808643458538517,KernelRidge(),1,1,20,polynomial,,,,,,,,,,,,,,"{'estimator': KernelRidge(), 'estimator__alpha': 1, 'estimator__degree': 1, 'estimator__gamma': 20, 'estimator__kernel': 'polynomial'}",0.01726068136994679,0.010932950413166762,0.006120805816770528,0.01120170419360959,0.011543674362074331,0.019676204000647676,0.004744369132658175,0.013197347822541486,0.007775300166521966,0.030366532554179867,0.013281956983211714,0.007183099577848182,315,0.10034671304552079,0.8157178660436117,0.8857979390999614,0.7897192842659393,0.8032129630260331,0.7486080773064558,0.8868252188341653,0.7599848770890366,0.8493635414279077,0.5926454906065182,0.723222197074515,0.22259927579243677,374,0.0961480154279051,0.08518451995396362,0.06615571070052903,0.08436900303029034,0.08558769448508668,0.10069804751755615,0.05332504592129227,0.09093705943183984,0.07089172606725516,0.11273637837513416,0.08460332009108523,0.016528519874621155,437
3,0.0031007766723632813,0.0007003516294539127,0.00330045223236084,0.0004584488416224013,KernelRidge(),1,1,20,sigmoid,,,,,,,,,,,,,,"{'estimator': KernelRidge(), 'estimator__alpha': 1, 'estimator__degree': 1, 'estimator__gamma': 20, 'estimator__kernel': 'sigmoid'}",0.027341452745867613,0.07538865610852033,0.0539186621647444,0.05424744874920119,0.06140395182915814,0.08534473022258456,0.042035139371774305,0.055114708173965084,0.05174228397621862,0.07528918134817486,0.05818262146902091,0.016227492038900275,590,0.4250786110772289,0.27072582411524415,0.006014979811211463,0.01834436551506502,0.04676391242042044,0.0904021843700713,0.0027292494862192207,0.0023501414414224264,0.0024403238049663933,0.009973314404680078,0.08748229064465293,0.13722364737680381,620,0.1516824006522295,0.24309492646203198,0.19619781353086335,0.20831289868597963,0.2099089081952476,0.23542495365416585,0.17960819686494894,0.20451269961959417,0.20430784583896017,0.21684655116610949,0.20498971946701308,0.024734628993287475,621
4,0.003401041030883789,0.0008001925172752346,0.0031004905700683593,0.0005386547981342006,KernelRidge(),1,1,30,polynomial,,,,,,,,,,,,,,"{'estimator': KernelRidge(), 'estimator__alpha': 1, 'estimator__degree': 1, 'estimator__gamma': 30, 'estimator__kernel': 'polynomial'}",0.017415718167320165,0.010965506443331283,0.006061380098266176,0.011243315800659352,0.0115040145822435,0.019690527248002097,0.00475071572619763,0.013272431127075856,0.007775733356799374,0.031062858240487646,0.01337422007903831,0.0073631077444061355,331,0.09226595647708624,0.8151691125520893,0.8869067047963126,0.7889381425430343,0.8038890502332043,0.7484250771357153,0.886673823713994,0.7586193657144256,0.8493551489224251,0.5833045687275418,0.7213546950815829,0.22544057424508143,379,0.09648193810063513,0.08514076361210124,0.06581797994646396,0.08474156273422624,0.08546284700077328,0.10042995165073766,0.05335914254005038,0.09125185376746545,0.07093589361164285,0.11375089914916939,0.08473728321132656,0.016739539004987515,439
5,0.003201150894165039,0.000600052628255985,0.003100275993347168,0.0008308867932711225,KernelRidge(),1,1,30,sigmoid,,,,,,,,,,,,,,"{'estimator': KernelRidge(), 'estimator__alpha': 1, 'estimator__degree': 1, 'estimator__gamma': 30, 'estimator__kernel': 'sigmoid'}",0.02734144876090707,0.07538865538349976,0.05391866206678031,0.05424744837737089,0.061403951989268415,0.08534472978754519,0.04203513566283769,0.055114708042046996,0.05174228375376402,0.07528918148180301,0.05818262053058233,0.016227493055813617,585,0.4250784033749504,0.27072581189454126,0.006014977983396452,0.01834435853498939,0.046763915149848456,0.090402178811815,0.0027291610112127884,0.002350139042278654,0.0024403194951940765,0.009973316197246618,0.08748225814954731,0.1372236007926967,615,0.15168239029739272,0.24309492582756273,0.19619781448958967,0.20831289814108858,0.2099089095579139,0.23542495375625652,0.17960818732052367,0.2045126999698873,0.20430784584677453,0.21684655236861394,0.2049897177575603,0.024734632161801207,616
6,0.003000688552856445,0.0006327120053299016,0.0031003236770629885,0.0002995577606075213,KernelRidge(),1,2,10,polynomial,,,,,,,,,,,,,,"{'estimator': KernelRidge(), 'estimator__alpha': 1, 'estimator__degree': 2, 'estimator__gamma': 10, 'estimator__kernel': 'polynomial'}",0.027603909165422654,0.015700316921836287,0.014853772792216113,0.02364151471716298,0.01256038054426157,0.020823280922173226,0.006268173086225624,0.016616098834614106,0.011170569927180355,0.08642108804913663,0.02356591049602295,0.02175925820443697,537,0.43875824373333683,0.7353607400740478,0.7228581471471964,0.5561965795705937,0.7858809948164076,0.7339525130131497,0.8504755642936879,0.6978093585380243,0.7835845487602489,0.15930325139019597,0.5268056951089823,0.42377168772487495,536,0.10367121294643639,0.0998109325325433,0.09712832350296147,0.10026353081996225,0.08504945520656418,0.1154520496198843,0.06290111442018645,0.10058219401498375,0.08343157058969647,0.17350320510619793,0.10217935887594165,0.02736881140371222,555
7,0.0029006719589233397,0.0007004169460688729,0.0032006263732910155,0.0006001487817082414,KernelRidge(),1,2,10,sigmoid,,,,,,,,,,,,,,"{'estimator': KernelRidge(), 'estimator__alpha': 1, 'estimator__degree': 2, 'estimator__gamma': 10, 'estimator__kernel': 'sigmoid'}",0.0273480175773975,0.07539157983319895,0.053919287573364574,0.05425057554408341,0.06140498541058875,0.08534648261822159,0.0420415304119406,0.05511622178901296,0.051744174528660196,0.07528938056344656,0.05818522358499151,0.016226057418914065,595,0.4254207802035559,0.2707751054347889,0.006026648691987546,0.01840306235747602,0.04678153206394309,0.090424573755163,0.0028817048605835893,0.002377668980034109,0.0024769508313762234,0.009975986795382585,0.0875544013974291,0.13729675433960165,625,0.15169910883448254,0.24309924705029456,0.19619610359131923,0.20832017692420202,0.20990901354891467,0.2354263142626756,0.17962342462684097,0.2045147892890333,0.2043118081031062,0.21684475382656448,0.20499447400574336,0.02473035848565771,626
8,0.0028006315231323244,0.0007483094723117026,0.0031004905700683593,0.0009434816895149113,KernelRidge(),1,2,20,polynomial,,,,,,,,,,,,,,"{'estimator': KernelRidge(), 'estimator__alpha': 1, 'estimator__degree': 2, 'estimator__gamma': 20, 'estimator__kernel': 'polynomial'}",0.06266308518319579,0.03380176670515103,0.036203426471976566,0.03653345898515503,0.02806125893298956,0.037397552364795986,0.012833435296458756,0.041022425609421785,0.015858000339598246,0.12625647012859476,0.043063088001733744,0.030652941086658215,582,2.266096473684249,0.4302487924559276,0.3245160786812552,0.3141863263964798,0.5216348082959965,0.5221922585927095,0.6938642018208951,0.2539408177199105,0.6927716023778068,0.6936784716932445,0.07935799409634878,0.866787026032689,577,0.145010132649605,0.1292072949618508,0.15110969346096756,0.13386385121069672,0.12669542134037234,0.15840243694454664,0.08097942281963164,0.14579014439835553,0.09703156957057539,0.22863761321166834,0.139672758056827,0.03746614330321448,584
9,0.0031011104583740234,0.0005390271828177286,0.0031002521514892577,0.0005390095419212938,KernelRidge(),1,2,20,sigmoid,,,,,,,,,,,,,,"{'estimator': KernelRidge(), 'estimator__alpha': 1, 'estimator__degree': 2, 'estimator__gamma': 20, 'estimator__kernel': 'sigmoid'}",0.027341452745867613,0.07538865610852033,0.0539186621647444,0.05424744874920119,0.06140395182915814,0.08534473022258456,0.042035139371774305,0.055114708173965084,0.05174228397621862,0.07528918134817486,0.05818262146902091,0.016227492038900275,590,0.4250786110772289,0.27072582411524415,0.006014979811211463,0.01834436551506502,0.04676391242042044,0.0904021843700713,0.0027292494862192207,0.0023501414414224264,0.0024403238049663933,0.009973314404680078,0.08748229064465293,0.13722364737680381,620,0.1516824006522295,0.24309492646203198,0.19619781353086335,0.20831289868597963,0.2099089081952476,0.23542495365416585,0.17960819686494894,0.20451269961959417,0.20430784583896017,0.21684655116610949,0.20498971946701308,0.024734628993287475,621
