,train_or_test,predictions
0,0.0698306625591259,train
1,0.04092235404658572,train
2,0.48541193515477155,train
3,0.025343532645587398,train
4,0.013438021983386603,train
5,0.6315205175847861,train
6,0.111997034997288,train
7,0.3614569569203047,train
8,0.06728579258271916,train
9,0.04055259146294353,train
10,0.03165650071594622,train
11,0.013438021983386603,train
12,0.013438021983386603,train
13,0.10095676195454313,train
14,0.07204406143198538,train
15,0.32071558171761994,train
16,0.018941100773771338,train
17,0.013438021983386603,train
18,0.4310156333785979,train
19,0.5251084492513999,train
20,0.06757925787546373,train
21,0.6309315707357755,train
22,0.06624638637706282,train
23,0.013438021983386603,train
24,0.5548196674482079,train
25,0.3637346149578181,train
26,0.017671603651335358,train
27,0.6089049450121007,train
28,0.0655499932995763,train
29,0.06325280586840473,train
30,0.05342636553912335,train
31,0.013438021983386603,train
32,0.047270862382420245,train
33,0.03215089139276557,train
34,0.013438021983386603,train
35,0.014070564812156867,train
36,0.08031850805879813,train
37,0.6444839857372684,train
38,0.18680223322988376,train
39,0.013438021983386603,train
40,0.08947706013320034,train
41,0.04080236060506709,train
42,0.05857965363244299,train
43,0.5816389333801805,train
44,0.05390330788207147,train
45,0.1475325531968736,train
46,0.11028842567678261,train
47,0.08462391752690122,train
48,0.6249136188845668,train
49,0.5980359750032256,train
50,0.08240473706084483,train
51,0.05669231411883739,train
52,0.6498069159462001,train
53,0.5010553448039158,train
54,0.1111770861927181,train
55,0.5450374558667647,train
56,0.6090637585818786,train
57,0.50421016790942,train
58,0.08255251432542612,train
59,0.5305508988715346,train
60,0.013438021983386603,train
61,0.016886981866677076,train
62,0.14377508715866066,train
63,0.05742774224180124,train
64,0.10573809590141954,train
65,0.11396038255283197,train
66,0.013570880753994178,train
67,0.013858920518580772,train
68,0.14996900199611007,train
69,0.15085405785300668,train
70,0.4226209032670213,train
71,0.1502846068126342,train
72,0.6264778573394674,train
73,0.07239189181196515,train
74,0.04615060813536446,train
75,0.013570880753994178,train
76,0.06309975431619218,train
77,0.013438021983386603,train
78,0.06332346913573064,train
79,0.4026571815339803,train
80,0.6356336208318965,train
81,0.02356811585813675,train
82,0.32861735699554473,train
83,0.09632469833739765,train
84,0.01627256791717504,train
85,0.48361488483437365,train
86,0.4819981869386924,train
87,0.021557816414905742,train
88,0.06469341964776099,train
89,0.025452233129132907,train
90,0.019156814136016925,train
91,0.013570880753994178,train
92,0.6220316135984936,train
93,0.07906519026916264,train
94,0.5523008375029507,train
95,0.013438021983386603,train
96,0.027406880629586686,train
97,0.08008745683572929,train
98,0.6025406972114236,train
99,0.5903667032490811,train
100,0.36117088624691024,train
101,0.3383672552996785,train
102,0.5294363475721582,train
103,0.09696823237211293,train
104,0.013438021983386603,train
105,0.017087774807447508,train
106,0.015724149218592835,train
107,0.013438021983386603,train
108,0.016971318118900874,train
109,0.013581461210300605,train
110,0.1093829790991582,train
111,0.6261099918776291,train
112,0.03070356698717502,train
113,0.0893439229164573,train
114,0.0961923973056411,train
115,0.5597652085668617,train
116,0.5655163085771627,test
117,0.013570880753994178,test
118,0.10749397948974662,test
119,0.5047435631564984,test
120,0.04832113224086001,test
121,0.03623293370024436,test
122,0.02292538665781499,test
123,0.400453463074086,test
124,0.013438021983386603,test
125,0.11297801594338758,test
126,0.07261524367100672,test
127,0.37067287133710297,test
128,0.023920641138525864,test
129,0.07191741988542462,test
130,0.013438021983386603,test
131,0.043684775239846575,test
132,0.5050716295773469,test
133,0.08032681149873695,test
134,0.11035987255247104,test
135,0.013438021983386603,test
136,0.46683138834123816,test
137,0.5330549310481285,test
138,0.11579873497172753,test
139,0.0661462711387355,test
140,0.613484765005435,test
141,0.59853683871914,test
142,0.6239054332803291,test
143,0.6077064498856218,test
144,0.013438021983386603,test
145,0.015875721785203207,test
146,0.5959285445453417,test
147,0.5278075814603072,test
148,0.580642286505321,test
149,0.5425689069707077,test
150,0.06434057682131535,test
151,0.11859629924198849,test
152,0.015266578052907901,test
153,0.5708698086003507,test
154,0.05733754983021422,test
